Country name,Regional indicator,Ladder score,Logged GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity
Congo,Sub-Saharan Africa,4.31099987,6.694256306,52.90000153,0.700793564,0.083637655
Swaziland,Sub-Saharan Africa,4.308100224,9.16267395,51.18823624,0.646822274,-0.19920142
Myanmar,Southeast Asia,4.308000088,8.680481911,58.96171188,0.895075202,0.560663998
Comoros,Sub-Saharan Africa,4.288599968,7.833630085,57.34901047,0.547612607,0.090008408
Togo,Sub-Saharan Africa,4.187200069,7.357711315,54.71989822,0.649828613,0.002667875
Ethiopia,Sub-Saharan Africa,4.186200142,7.509385586,58.63959122,0.740795195,0.043377332
Madagascar,Sub-Saharan Africa,4.165599823,7.281685829,59.10542679,0.557574093,-0.011823639
Egypt,Middle East,4.151400089,9.316541672,61.78015137,0.708354175,-0.196878314
Sierra Leone,Sub-Saharan Africa,3.926399946,7.26880312,50.86514282,0.715315044,0.088660747
Burundi,Sub-Saharan Africa,3.775300026,6.492642403,53.40000153,0.626350224,-0.017551597
Zambia,Sub-Saharan Africa,3.759399891,8.224720001,55.29937744,0.806500256,0.078037128
Haiti,Latin America ,3.720799923,7.411329269,55.59862518,0.537825167,0.40053457
Lesotho,Sub-Saharan Africa,3.652800083,7.960488319,48.00362396,0.738125861,-0.145732045
India,South Asia,3.573299885,8.849823952,60.21518707,0.881444871,0.057551607
Malawi,Sub-Saharan Africa,3.538000107,7.062226295,57.59288788,0.803223193,0.021433279
Yemen,Middle East,3.527400017,7.759682655,56.72728348,0.599920273,-0.157735437
Botswana,Sub-Saharan Africa,3.478899956,9.711203575,58.92445374,0.821328104,-0.250394493
Tanzania,Sub-Saharan Africa,3.476200104,7.967665195,57.49607468,0.82153976,0.109668687
Rwanda,Sub-Saharan Africa,3.312299967,7.600104332,61.09884644,0.900589406,0.055483952
Zimbabwe,Sub-Saharan Africa,3.299200058,7.865711689,55.61725998,0.711457908,-0.072063953
South Sudan,Sub-Saharan Africa,2.816600084,7.425359726,51,0.451313615,0.016518548
Afghanistan,South Asia,2.566900015,7.462860584,52.59000015,0.396573007,-0.0964294
